Nombre,Título Original,Versión/Subtítulo,Año,Duración,Categoría de Scoring,Instrumentación Detallada,Fecha de Estreno,Lugar de Estreno,Ciudad de Estreno,Intérpretes del Estreno,Encargos / Ayudas,Notas Adicionales
Compositor Prueba,Ecos del Viento,Versión de Cámara,2024,8'30'',Trío,"fl, vln, pno",12-04-2024,Teatro Real,Madrid,Trío Contemporáneo,Subvención Comunidad de Madrid,Interpretación con técnicas extendidas
Compositor Prueba,Silencio Fractal,-,2023,12',Solo,vla,05-11-2023,L'Auditori,Barcelona,Intérprete Anónimo,N/D,Notas microtonales
Compositor Prueba,Metamorfosis Marina,Suite del Mar,2022,15'45'',Ensemble,"fl, ob, cl, fg, tpa, tpt, tbn, perc, pno, 2 vln, vla, vcl, contrabajo",N/D,N/D,N/D,N/D,Encargo de la Orquesta Nacional,N/D
Compositor Prueba,Resonancia Magnética,Estudio No. 3,2024,5',Solo,pno,22-01-2024,Teatro Colón,Buenos Aires,Pianista Invitado,N/D,N/D
Compositor Prueba,Sombras en el Espejo,-,2021,9'15'',Dúo,"vln, vcl",N/D,N/D,N/D,N/D,N/D,Dedicado a la memoria de Paco Ramos
Compositor Prueba,Cantos Ancestrales,Versión Coral,2020,11',Coral,coro,15-06-2021,Catedral de Sevilla,Sevilla,Coro de la Ciudad,N/D,N/D
Compositor Prueba,Pulsaciones Urbanas,Estudio Rítmico,2023,7'20'',Trío,"2 perc, pno",03-09-2023,Auditorio de Zaragoza,Zaragoza,Grupo de Percusión local,Ayuda a la Creación INAEM,N/D
Compositor Prueba,Luz Infrarroja,-,2022,6',Solo,fl,18-05-2022,YouTube,Digital,Flautista de Pruebas,N/D,Grabación en vivo
Compositor Prueba,Gravedad Cero,Versión Sinfónica,2023,20',Orquesta,"fl, ob, cl, fg, 2 tpa, 2 tpt, 2 tbn, tuba, perc, pno, vln, vla, vcl",N/D,N/D,N/D,N/D,Comisión del Festival de Música,Estreno aplazado por motivos técnicos
Compositor Prueba,Murmullos en la Niebla,Estudio de Texturas,2021,8'10'',Dúo,"fl, guit",30-10-2021,Ateneo de Madrid,Madrid,Dúo de Cuerdas y Vientos,N/D,N/D
