Título Original,Versión/Subtítulo,Año,Duración,Categoría de Scoring,Instrumentación Detallada,Fecha de Estreno,Lugar de Estreno,Ciudad de Estreno,Intérpretes del Estreno,Notas al Programa,Comisión
Vestigios del Alba,,2022,8',chamber,"fl, cl, vln, vla, vcl, pno",15-03-2022,Auditorio Nacional,Madrid,Ensemble Zeitgeist,Obra en tres secciones que explora la textura y el silencio.,Fundación BBVA
Resonancias Fractales,para cuarteto amplificado,2021,12',chamber,"vln, vln, vla, vcl",22-09-2021,Espacio Turina,Sevilla,Cuarteto Arditti,Juego de resonancias armónicas entre los cuatro instrumentistas.,Teatro Central de Sevilla
Umbral,versión revisada,2023,6',solo,"pno",08-11-2023,Sala Gayarre,Pamplona,Isabel Fernández Morales,Exploración de los límites del sonido pianístico en el registro grave.,Autoproducida
Deriva Nocturna,,2020,15',ensemble,"fl, ob, cl, fg, cor, tpt, trb, perc, pno, vln, vln, vla, vcl, cb",30-01-2020,L'Auditori,Barcelona,Orquesta de Cámara OBC,Viaje sonoro nocturno en un único movimiento.,Diputació de Barcelona
Paisaje con Niebla,,2019,7',duo,"vln, pno",14-06-2019,Fundación Juan March,Madrid,Duo Resonance,Pieza íntima inspirada en los paisajes del norte de España.,Fundación Juan March
Espejo Roto,trío con electrónica,2023,10',trio,"cl, vcl, pno",19-04-2023,Centro Cultural Conde Duque,Madrid,Trío Ibérico,La electrónica actúa como cuarto intérprete invisible en diálogo constante.,Ministerio de Cultura
Arquitecturas Efímeras,,2022,9',solo,"perc",07-07-2022,Festival ENSEMS,Valencia,Marc Egea,Obra para percusionista solo con múltiples superficies resonantes.,INAEM
Constelaciones,para voz y ensemble,2021,18',ensemble,"S, fl, cl, vla, vcl, pno",11-10-2021,Teatro de la Zarzuela,Madrid,Ensemble Ars Nova,Ciclo de canciones sobre textos de poetas españoles contemporáneos.,Teatro de la Zarzuela
Tránsito,,2023,5',duo,"vla, pno",25-02-2023,Sala Manuel de Falla,Granada,Marina López y Andrés Soria,Breve obra de carácter meditativo escrita en homenaje a Piazzolla.,Conservatorio Superior de Granada
Latencias,,2020,14',chamber,"fl, cl, vln, vcl, pno, perc",03-12-2020,Auditorio de Zaragoza,Zaragoza,Ensemble Zaragoza Contemporánea,Superposición de capas texturales que emergen y desaparecen gradualmente.,Ayuntamiento de Zaragoza
